date,open,high,low,volume,rsi_14,macd,cci,adx,stoch_slowk,stoch_slowd,willr,momentum,roc,ema8,ema20,ema200,Sto_rsi_fastk,Sto_rsi_fastd,adosc,obv,BB_upper,BB_middle,BB_lower,adj_close
2013-11-06,29960,29960,28980,12218400,50.69309144,437.8316658,-21.67437083,28.43491362,49.90651028,69.42703013,-69.8630137,180,0.624133148,29512.38501,29195.20804,28599.11157,0,31.74134838,8440882.124,-300251700,30533.53874,29763.70759,28993.87644,29020
2013-11-07,29020,29080,28500,13006800,47.37086733,349.9521014,-113.3077415,27.43892847,24.47068485,51.6146752,-84.41558442,-240,-0.82815735,29340.74389,29151.85489,28600.51345,0,-3.79E-14,4750525.308,-313258500,30622.5163,29591.9126,28561.30889,28740
2013-11-08,28220,28560,28140,13681350,41.69554865,234.0356095,-153.3855799,27.13572103,7.505298409,27.29416451,-96.84210526,-780,-2.691511387,29087.24525,29061.20204,28596.52824,0,-3.79E-14,-300429.7815,-326939850,30595.13223,29306.26295,28017.39368,28200
2013-11-11,28500,28680,28180,8563850,46.31338329,169.2687215,-110.2703217,26.54400559,13.61585783,15.19728036,-77.89473684,-1080,-3.643724696,28970.07964,29013.46852,28596.16477,81.36696626,27.12232209,-922489.8833,-318376000,30032.26554,29024.32903,28016.39253,28560
2013-11-12,28800,29320,28720,9784900,52.6021504,161.2688096,-30.74461896,24.7307643,26.36977058,15.83030894,-48.42105263,-680,-2.281879195,29003.39527,29023.61437,28601.37706,100,60.45565542,-55313.87496,-308591100,29522.68219,28861.7253,28200.76842,29120
2013-11-13,28900,28980,28380,9995200,45.08638423,94.13191206,-91.24513619,23.51636842,32.09680002,24.02747614,-87.36842105,-1620,-5.4,28864.86299,28962.31777,28599.17431,0,60.45565542,-2875822.428,-318586300,29355.76694,28723.31141,28090.85588,28380
2013-11-14,29100,29100,28480,10132150,46.20495887,48.43625832,-72.21923697,22.14004709,34.33289874,30.93315645,-82.10526316,-820,-2.798634812,28779.33788,28916.38274,28597.98849,14.88304205,38.29434735,-6992094.343,-308454150,29228.9676,28608.46458,27987.96156,28480
2013-11-15,28680,29240,28640,8339250,53.8920043,72.70962069,-21.58911048,20.57149808,47.37833284,37.93601053,-42.10526316,-760,-2.533333333,28881.70724,28947.20343,28604.37667,100,38.29434735,-5386981.095,-300114900,29315.44955,28609.63371,27903.81787,29240
2013-11-18,29400,29520,29300,6386800,56.02882277,110.0439118,34.85148515,19.64395803,72.76241451,51.49121536,-29.47368421,-500,-1.667778519,29014.66119,28997.94596,28613.08934,100,71.62768068,-2947423.262,-293728100,29593.643,28726.83275,27860.02251,29480
2013-11-19,29660,29780,29540,8183550,58.61091588,161.971987,75.90893646,19.25758473,96.49122807,72.21065847,-13.68421053,80,0.269360269,29184.73648,29072.4273,28624.70039,100,100,922382.0572,-285544550,30042.02109,28937.38359,27832.74609,29780
